Country,State,Year,As On Date,"Number Of Public Blood Bank  (UOM:Number), Scaling Factor:1","Number Of Private Blood Bank (UOM:Number), Scaling Factor:1","Number Of Licensed Blood Banks Under Redcross (UOM:Number), Scaling Factor:1","Number Of Licensed Blood Banks Under Trust (UOM:Number), Scaling Factor:1","Number Of Licensed Blood Banks Under Private (UOM:Number), Scaling Factor:1"
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",Dec-20,76,276,,,
India,Manipur,"Calendar Year (Jan - Dec), 2020",Dec-20,4,1,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",Dec-20,7,2,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2020",Dec-20,9,2,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2020",Dec-20,5,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2020",Dec-20,63,24,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2020",Dec-20,4,12,,,
India,Punjab,"Calendar Year (Jan - Dec), 2020",Dec-20,51,84,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",Dec-20,65,104,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2020",Dec-20,4,2,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",Dec-20,104,208,,,
India,Telangana,"Calendar Year (Jan - Dec), 2020",Dec-20,65,160,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2020",Dec-20,2.00000000000000000000,1.00000000000000000000,,,
India,Tripura,"Calendar Year (Jan - Dec), 2020",Dec-20,11,2,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",Dec-20,112,256,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",Dec-20,24,23,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020",Dec-20,103,43,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2019",Dec-19,2,1,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",Dec-19,39,141,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",Dec-19,11,1,,,
India,Assam,"Calendar Year (Jan - Dec), 2019",Dec-19,49,33,,,
India,Bihar,"Calendar Year (Jan - Dec), 2019",Dec-19,39,45,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Dec-19,3,1,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Dec-19,35,55,,,
India,Delhi,"Calendar Year (Jan - Dec), 2019",Dec-19,23,51,,,
India,Goa,"Calendar Year (Jan - Dec), 2019",Dec-19,3,1,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Dec-19,30,130,,,
India,Haryana,"Calendar Year (Jan - Dec), 2019",Dec-19,29,95,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Dec-19,19,3,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2019",Dec-19,30.32193266152003924710,5.86876116029420114460,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",Dec-19,29,24,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2019",Dec-19,44,187,,,
India,Kerala,"Calendar Year (Jan - Dec), 2019",Dec-19,45,140,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2019",Dec-19,0.67806733847996075290,0.13123883970579885540,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",Dec-19,1,0,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",Dec-19,63,95,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",Dec-19,76,264,,,
India,Manipur,"Calendar Year (Jan - Dec), 2019",Dec-19,4,1,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",Dec-19,6,2,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2019",Dec-19,8,2,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2019",Dec-19,5,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2019",Dec-19,63,21,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2019",Dec-19,5,13,,,
India,Punjab,"Calendar Year (Jan - Dec), 2019",Dec-19,53,71,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",Dec-19,64,87,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2019",Dec-19,4,2,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",Dec-19,104,206,,,
India,Telangana,"Calendar Year (Jan - Dec), 2019",Dec-19,38,168,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2019",Dec-19,2.00000000000000000000,1.00000000000000000000,,,
India,Tripura,"Calendar Year (Jan - Dec), 2019",Dec-19,11,2,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",Dec-19,110,238,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2019",Dec-19,24,19,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2019",Dec-19,100,46,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2018",Dec-18,2,1,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2018",Dec-18,34,135,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",Dec-18,9,1,,,
India,Assam,"Calendar Year (Jan - Dec), 2018",Dec-18,39,32,,,
India,Bihar,"Calendar Year (Jan - Dec), 2018",Dec-18,35,45,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2018",Dec-18,3,1,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2018",Dec-18,31,51,,,
India,Delhi,"Calendar Year (Jan - Dec), 2018",Dec-18,22,38,,,
India,Goa,"Calendar Year (Jan - Dec), 2018",Dec-18,3,3,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2018",Dec-18,28,125,,,
India,Haryana,"Calendar Year (Jan - Dec), 2018",Dec-18,26,79,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2018",Dec-18,19,3,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2018",Dec-18,29.34380580147100572300,4.89063430024516762050,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2018",Dec-18,28,23,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2018",Dec-18,42,174,,,
India,Kerala,"Calendar Year (Jan - Dec), 2018",Dec-18,41,128,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2018",Dec-18,0.65619419852899427700,0.10936569975483237950,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2018",Dec-18,1,0,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",Dec-18,61,92,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",Dec-18,76,257,,,
India,Manipur,"Calendar Year (Jan - Dec), 2018",Dec-18,4,1,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2018",Dec-18,5,2,,,
