Country,State,Year,Additional Info,"Sub Centres And Hwc Sub Centres In Rural Areas I (UOM:Number), Scaling Factor:1","Primary Health Centres And Hwc Primary Health Centres In Rural Areas I (UOM:Number), Scaling Factor:1","Sub Centres In Rural Areas (UOM:Number), Scaling Factor:1","Sub Centres And Hwc Sub Centres Building Position In Rural Areas (UOM:Number), Scaling Factor:1","Sub Centres In Government Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Sub Centres In Rented Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Sub Centres In Rent Free Panchayat Or Voluntary Society Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Sub Centres Buildings Under Construction In Rural Areas (UOM:Number), Scaling Factor:1","Primary Health Centres And Hwc Building Position In Rural Areas (UOM:Number), Scaling Factor:1","Primary Health Centres In Government Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Primary Health Centres In Rented Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Primary Health Centres In Rent Free Panchayat Or Voluntary Society Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Primary Health Centres Buildings Under Construction In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres Building Position In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres In Government Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres In Rented Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres In Rent Free Panchayat Or Voluntary Society Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres Buildings Under Construction In Rural Areas (UOM:Number), Scaling Factor:1","Anm Required At Sub Centres And Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Anm Sanctioned At Sub Centres And Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Anm In Position At Sub Centres And Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Anm Vacancies At Sub Centres And Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Anm Shortfall At Sub Centres And Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Doctors Required At Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Doctors Sanctioned At Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Doctors In Position At Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Doctors Vacancies At Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Doctors Shortfall At Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Specialists Required At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Specialists Sanctioned At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Specialists In Position At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Specialists Vacancies At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Specialists Shortfall At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Radiographers Required At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Radiographers Sanctioned At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Radiographers In Position At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Radiographers Vacancies At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Radiographers Shortfall At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Pharmacists Required At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Pharmacists Sanctioned At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Pharmacists In Position At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Pharmacists Vacancies At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Pharmacists Shortfall At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Lab Technicians Required At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Lab Technicians Sanctioned At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Lab Technicians In Position At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Lab Technicians Vacancies At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Lab Technicians Shortfall At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Nursing Staff Required At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Nursing Staff Sanctioned At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Nursing Staff In Position At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Nursing Staff Vacancies At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Nursing Staff Shortfall At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1"
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","Telangana came to existence in 2014 after bifurcation of Andhra Pradesh; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",7437,1142,141,7437,2326,4811,300,1142,1126,1,15,141,141,0,0,,,,8579,17126,15742,1384,,1142,1861,1798,63,,564,378,315,63,249,141,112,56,56,85,1283,1263,1039,224,244,1283,1241,913,328,370,2129,3421,3088,333,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020","Not Available in Health Worker [Female]/ANM Sanctioned in Rural Areas, Health Worker [Female]/ANM Vacant in Rural Areas, Doctors at PHCs Sanctioned in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas, Radiographer Sanctioned in Rural Areas, Radiographer Vacant in Rural Areas, Pharmacist Sanctioned in Rural Areas, Pharmacist Vacant in Rural Areas, Lab Technician Sanctioned in Rural Areas, Lab Technician Vacant in Rural Areas, Nursing Staff Sanctioned in Rural Areas, Nursing Staff Vacant in Rural Areas; Surplus observed in Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",356,119,60,356,356,0,0,119,119,0,0,60,60,0,0,,,,475,,471,,4,119,,194,,,240,,14,,226,60,,13,,47,179,,108,,71,179,,120,,59,539,,679,,
India,Assam,"Calendar Year (Jan - Dec), 2020","Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Specialists Vacant in Rural Areas, Radiographer Vacant in Rural Areas, Pharmacist Vacant in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Vacant in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",4659,946,190,4659,3626,695,338,946,946,0,0,190,190,0,0,,,,5605,5216,8614,,,946,906,1424,,,760,126,188,,572,190,51,117,,73,1136,731,1384,,,1136,608,1279,,,2276,1512,3575,,
India,Bihar,"Calendar Year (Jan - Dec), 2020","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas",9112,1702,57,9112,3756,3250,2106,1702,986,362,354,57,57,0,0,,,,10814,24121,15656,8465,,1702,4129,1745,2384,,228,636,124,512,104,57,94,3,91,54,1759,1567,492,1075,1267,1759,1506,438,1068,1321,2101,3594,1346,2248,755
India,Chandigarh,"Calendar Year (Jan - Dec), 2020","Not Applicable in Building position for Sub Centres functioning in Govt. Building in Rural Areas, Building position for Sub Centres functioning in Rented Building in Rural Areas, Building position for Sub Centres functioning in Rent Free Panchayat / Vol. Society Building in Rural Areas, Building position for PHCs functioning in Govt. Building in Rural Areas, Building position for PHCs functioning in Rented Building in Rural Areas, Building position for PHCs functioning in Rent Free Panchayat / Vol. Society Building in Rural Areas, Building position for CHCs functioning in Govt. Building in Rural Areas, Building position for CHCs functioning in Rented Building in Rural Areas, Building position for CHCs functioning in Rent Free Panchayat / Vol. Society Building in Rural Areas, Health Worker [Female]/ANM Sanctioned in Rural Areas, Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Sanctioned in Rural Areas, Doctors at PHCs In Position in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas, Specialists Shortfall in Rural Areas, Radiographer In Position in Rural Areas, Radiographer Shortfall in Rural Areas, Pharmacist Sanctioned in Rural Areas, Pharmacist Vacant in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician In Position in Rural Areas, Lab Technician Vacant in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Sanctioned in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",0,0,0,0,,,,0,,,,0,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Surplus observed in Nursing Staff Shortfall in Rural Areas,5205,792,170,5205,4160,573,472,792,677,0,115,170,160,0,10,,,,5997,6377,5921,456,76,792,811,388,423,404,680,581,62,519,618,170,170,161,9,9,962,1079,946,133,16,962,1000,811,189,151,1982,3186,2718,468,
India,Delhi,"Calendar Year (Jan - Dec), 2020","Not Applicable in Building position for CHCs functioning in Govt. Building in Rural Areas, Building position for CHCs functioning in Rented Building in Rural Areas, Building position for CHCs functioning in Rent Free Panchayat / Vol. Society Building in Rural Areas, Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas, Specialists Shortfall in Rural Areas, Radiographer In Position in Rural Areas, Radiographer Shortfall in Rural Areas; Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",12,5,0,12,1,8,3,5,5,0,0,0,,,,,,,17,33,34,,,5,19,18,1,,0,,,,,0,,,,,5,4,4,0,1,5,2,1,1,4,5,6,6,0,
India,Goa,"Calendar Year (Jan - Dec), 2020","Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Specialists Vacant in Rural Areas, Pharmacist Vacant in Rural Areas, Lab Technician Vacant in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",218,55,6,218,93,122,3,55,22,3,30,6,6,0,0,,,,273,342,347,,,55,72,75,,,24,12,14,,10,6,4,2,2,4,61,51,57,,4,61,38,44,,17,97,267,273,,
India,Gujarat,"Calendar Year (Jan - Dec), 2020",Surplus observed in Doctors at PHCs Shortfall in Rural Areas,9162,1477,348,9162,6358,147,2657,1477,1226,3,248,348,298,0,50,,,,10639,12023,9566,2457,1073,1477,1869,1490,379,,1392,268,13,255,1379,348,348,126,222,222,1825,1846,1538,308,287,1825,1792,1478,314,347,3913,3639,2969,670,944
India,Haryana,"Calendar Year (Jan - Dec), 2020","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",2617,385,118,2617,1714,362,541,385,301,14,70,118,113,2,3,,,,3002,5337,4534,803,,385,766,491,275,,472,135,27,108,445,118,109,38,71,80,503,656,405,251,98,503,671,400,271,103,1211,2921,2193,728,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",Surplus observed in Specialists Vacant in Rural Areas,2092,564,85,2092,1630,25,437,564,485,6,73,85,83,1,1,,,,2656,2281,1664,617,992,564,722,471,251,93,340,16,21,,319,85,38,26,12,59,649,723,511,212,138,649,239,48,191,601,1159,458,242,216,917
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2020","Jammu & Kashmir and Ladakh bifurcated and became UTs during Aug 2019; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Radiographer Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas",2470,923,77,2470,872,1598,0,923,714,209,0,77,77,0,0,,,,3393,5000,4511,489,,923,1477,940,537,,308,321,230,91,78,77,265,208,57,,1000,1289,1058,231,,1000,1004,882,122,118,1462,1815,1385,430,77
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas,3848,291,171,3848,2422,1219,207,291,160,17,114,171,171,0,0,,,,4139,6406,6010,396,,291,330,222,108,69,684,339,179,160,505,171,188,122,66,49,462,391,228,163,234,462,545,364,181,98,1488,1913,888,1025,600
India,Karnataka,"Calendar Year (Jan - Dec), 2020","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",9188,2176,189,9188,5075,1481,2632,2176,2020,69,87,189,181,8,0,,,,11364,17748,13371,4377,,2176,2323,2071,252,105,756,499,252,247,504,189,152,122,30,67,2365,2367,1749,618,616,2365,1922,1725,197,640,3499,4574,4741,,
India,Kerala,"Calendar Year (Jan - Dec), 2020",Surplus observed in Doctors at PHCs Shortfall in Rural Areas,5410,784,211,5410,3818,586,1006,784,775,7,2,211,211,0,0,,,,6194,6194,5917,277,277,784,1237,1028,209,,844,192,173,19,671,211,16,12,4,199,995,890,774,116,221,995,587,565,22,430,2261,1984,1760,224,501
India,Ladakh,"Calendar Year (Jan - Dec), 2020","Jammu & Kashmir and Ladakh bifurcated and became UTs during Aug 2019; Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Nursing Staff Vacant in Rural Areas",238,32,7,238,207,31,0,32,32,0,0,7,7,0,0,,,,270,347,394,,,32,23,10,13,22,28,11,5,6,23,7,6,4,2,3,39,24,22,2,17,39,22,20,2,19,81,34,37,,44
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Radiographer Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",11,4,3,11,8,0,3,4,4,0,0,3,3,0,0,,,,15,40,40,0,,4,10,10,0,,12,8,8,0,4,3,5,5,0,,7,20,20,0,,7,18,18,0,,25,63,63,0,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas,10226,1199,309,10226,7926,1223,1077,1199,1092,107,0,309,304,5,0,,,,11425,12904,12087,817,,1199,1525,1065,460,134,1236,1032,46,986,1190,309,309,183,126,126,1508,1508,1323,185,185,1508,1508,823,685,685,3362,3362,2853,509,509
India,Maharashtra,"Calendar Year (Jan - Dec), 2020","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas",10647,1829,278,10647,9069,1417,161,1829,1707,122,0,278,270,2,6,,,,12476,14766,12804,1962,,1829,3587,2848,739,,1112,558,399,159,713,278,136,104,32,174,2107,2205,1958,247,149,2107,2118,1574,544,533,3775,3834,3165,669,610
India,Manipur,"Calendar Year (Jan - Dec), 2020","Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Pharmacist Vacant in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Vacant in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",418,85,17,418,332,19,67,85,79,2,4,17,17,0,0,,,,503,962,1002,,,85,170,311,,,68,24,4,20,64,17,10,9,1,8,102,99,152,,,102,53,112,,,204,338,336,2,
India,Meghalaya,"Calendar Year (Jan - Dec), 2020","Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Radiographer Vacant in Rural Areas, Pharmacist Vacant in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Vacant in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",440,119,28,440,428,2,10,119,118,1,0,28,28,0,0,,,,559,478,1041,,,119,91,190,,,112,5,4,1,108,28,10,24,,4,147,80,168,,,147,76,192,,,315,315,754,,
India,Mizoram,"Calendar Year (Jan - Dec), 2020","Not Available in Health Worker [Female]/ANM Sanctioned in Rural Areas, Health Worker [Female]/ANM Vacant in Rural Areas, Doctors at PHCs Sanctioned in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas, Radiographer Sanctioned in Rural Areas, Radiographer Vacant in Rural Areas, Pharmacist Sanctioned in Rural Areas, Pharmacist Vacant in Rural Areas, Lab Technician Sanctioned in Rural Areas, Lab Technician Vacant in Rural Areas, Nursing Staff Sanctioned in Rural Areas, Nursing Staff Vacant in Rural Areas; Surplus observed in Doctors at PHCs Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",311,57,9,311,311,0,0,57,57,0,0,9,9,0,0,,,,368,,346,,22,57,,58,,,36,,0,,36,9,,8,,1,66,,42,,24,66,,74,,,120,,245,,
India,Nagaland,"Calendar Year (Jan - Dec), 2020","Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Specialists Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",395,130,21,395,313,3,79,130,123,0,7,21,21,0,0,,,,525,747,900,,,130,113,120,,10,84,2,9,,75,21,3,3,0,18,151,132,132,0,19,151,143,143,0,8,277,316,316,0,
India,Odisha,"Calendar Year (Jan - Dec), 2020","Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Vacant in Rural Areas, Nursing Staff Vacant in Rural Areas",6688,1288,377,6688,4897,1624,167,1288,1255,0,33,377,377,0,0,,,,7976,7704,8985,,,1288,1288,827,461,461,1508,1482,313,1169,1195,377,127,63,64,314,1665,1868,1694,174,,1665,500,711,,954,3927,1402,2504,,1423
India,Punjab,"Calendar Year (Jan - Dec), 2020","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",2950,427,143,2950,1848,29,1073,427,362,5,60,143,132,0,4,,,,3377,4491,3703,788,,427,585,391,194,36,572,485,139,346,433,143,147,120,27,23,570,852,629,223,,570,772,528,244,42,1428,2466,1732,734,
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",Surplus observed in Nursing Staff Shortfall in Rural Areas,13480,2094,548,13480,10621,1204,1655,2094,1963,21,110,548,530,2,16,,,,15574,17941,14917,3024,657,2094,2170,1845,325,249,2192,1376,438,938,1754,548,664,329,335,219,2642,1968,1110,858,1532,2642,2929,1979,950,663,5930,10410,8174,2236,
India,Sikkim,"Calendar Year (Jan - Dec), 2020","Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Radiographer Vacant in Rural Areas, Radiographer Shortfall in Rural Areas, Lab Technician Vacant in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",147,24,2,147,146,1,0,24,24,0,0,2,2,0,0,,,,171,218,268,,,24,48,34,14,,8,4,2,2,6,2,3,4,,,26,15,13,2,13,26,31,37,,,38,97,92,5,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",8713,1420,385,8713,6290,2420,3,1420,1390,0,30,385,385,0,0,,,,10133,12012,10489,1523,,1420,2976,2708,268,,1540,319,228,91,1312,385,235,144,91,241,1805,1823,1585,238,220,1805,1872,1165,707,640,4115,8245,7072,1173,
India,Telangana,"Calendar Year (Jan - Dec), 2020","Telangana came to existence in 2014 after bifurcation of Andhra Pradesh; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",4744,636,85,4744,1273,2694,777,636,636,0,0,85,85,0,0,,,,5380,8996,7943,1053,,636,1254,1213,41,,340,625,258,367,82,85,99,44,55,41,721,675,442,233,279,721,773,647,126,74,1231,2412,2076,336,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2020",Dadra & Nagar Haveli and Daman Diu merged as single UT during Jan 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2020","Dadra & Nagar Haveli and Daman Diu merged as single UT during Jan 2020, Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Pharmacist Vacant in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Vacant in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",94.00000000000000000000,10.00000000000000000000,4.00000000000000000000,94.00000000000000000000,69.00000000000000000000,15.00000000000000000000,10.00000000000000000000,10.00000000000000000000,10.00000000000000000000,0.00000000000000000000,0.00000000000000000000,4.00000000000000000000,4.00000000000000000000,0.00000000000000000000,0.00000000000000000000,,,,104.00000000000000000000,115.00000000000000000000,147.00000000000000000000,,,10.00000000000000000000,9.00000000000000000000,13.00000000000000000000,,,16.00000000000000000000,2.00000000000000000000,1.00000000000000000000,1.00000000000000000000,15.00000000000000000000,4.00000000000000000000,4.00000000000000000000,4.00000000000000000000,0.00000000000000000000,0.00000000000000000000,14.00000000000000000000,15.00000000000000000000,18.00000000000000000000,,,14.00000000000000000000,18.00000000000000000000,23.00000000000000000000,,,38.00000000000000000000,64.00000000000000000000,77.00000000000000000000,,
India,Tripura,"Calendar Year (Jan - Dec), 2020","Not Applicable in Health Worker [Female]/ANM Sanctioned in Rural Areas, Health Worker [Female]/ANM Vacant in Rural Areas, Doctors at PHCs Sanctioned in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas, Radiographer Sanctioned in Rural Areas, Radiographer Vacant in Rural Areas, Pharmacist Sanctioned in Rural Areas, Pharmacist Vacant in Rural Areas, Lab Technician Sanctioned in Rural Areas, Lab Technician Vacant in Rural Areas, Nursing Staff Sanctioned in Rural Areas, Nursing Staff Vacant in Rural Areas; Surplus observed in Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",965,107,22,965,777,38,150,107,107,0,0,22,22,0,0,,,,1072,,,683,389,107,,222,,,88,,,1,87,22,,,13,9,129,,,171,,129,,146,,,261,,,746,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",Surplus observed in Pharmacist Shortfall in Rural Areas,20778,2880,711,20778,17124,3642,12,2880,2626,218,36,711,642,47,22,,,,23658,27476,23591,3885,67,2880,3578,2759,819,121,2844,2171,816,1355,2028,711,402,189,213,522,3591,4239,4181,58,,3591,2452,1812,640,1779,7857,9757,7408,2349,449
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020","Surplus observed in Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas",1839,257,56,1839,1296,506,37,257,227,18,12,56,56,0,0,,,,2096,2203,2006,197,90,257,476,346,130,,224,236,32,204,192,56,22,9,13,47,313,325,317,8,,313,136,61,75,252,649,392,243,149,406
India,West Bengal,"Calendar Year (Jan - Dec), 2020","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",10357,913,348,10357,8580,1332,445,913,913,0,0,348,348,0,0,,,,11270,19238,18591,647,,913,1390,1098,292,,1392,1422,641,781,751,348,283,162,121,186,1261,1549,1460,89,,1261,1101,717,384,544,3349,8609,7778,831,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019","Telangana came to existence in 2014 after bifurcation of Andhra Pradesh; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",7437,1145,140,7437,1769,5668,0,1145,1145,0,0,140,140,0,0,4,42,0,8582,14275,11815,2460,,1145,1862,1715,147,,560,295,237,58,323,140,91,40,51,100,1285,1333,1016,317,269,1285,1156,817,339,468,2125,3190,2861,329,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019","Not Available in Health Worker [Female]/ANM Sanctioned in Rural Areas, Health Worker [Female]/ANM Vacant in Rural Areas, Doctors at PHCs Sanctioned in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas, Radiographer Sanctioned in Rural Areas, Radiographer Vacant in Rural Areas, Pharmacist Sanctioned in Rural Areas, Pharmacist Vacant in Rural Areas, Lab Technician Sanctioned in Rural Areas, Lab Technician Vacant in Rural Areas, Nursing Staff Sanctioned in Rural Areas, Nursing Staff Vacant in Rural Areas; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",385,143,63,385,385,0,0,143,143,0,0,63,63,0,0,0,0,0,528,,689,,,143,,116,,27,252,,4,,248,63,,17,,46,206,,101,,105,206,,113,,93,584,,617,,
India,Assam,"Calendar Year (Jan - Dec), 2019","Not Available in Health Worker [Female]/ANM Sanctioned in Rural Areas, Health Worker [Female]/ANM Vacant in Rural Areas, Doctors at PHCs Sanctioned in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas, Radiographer Sanctioned in Rural Areas, Radiographer Vacant in Rural Areas, Pharmacist Sanctioned in Rural Areas, Pharmacist Vacant in Rural Areas, Lab Technician Sanctioned in Rural Areas, Lab Technician Vacant in Rural Areas, Nursing Staff Sanctioned in Rural Areas, Nursing Staff Vacant in Rural Areas; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",4643,946,177,4643,4049,466,128,946,946,0,0,177,177,0,0,0,0,0,5589,,11502,,,946,,1925,,,708,,136,,572,177,,90,,87,1123,,1779,,,1123,,1409,,,2185,,3369,,
